Influent Substrate,HRT,Baffles Active,Substrate Removal,Mean Substrate,Standard Deviation Substrate,Mean Current Density,Total Current,Standard Deviation Current Density,Biomass,Standard Deviation Biomass,Length
1000,12,2,3.803872494,881.5744141,165.4540204,1.696642956,0.678445673,0.37823827,6907.284457,412.0571742,70
1000,12,3,5.364657246,856.7664042,182.0923336,1.68902433,0.740680879,0.564809736,6885.698933,458.8446562,70
1000,12,4,6.833553752,833.1658154,195.4399473,1.684594183,0.773604309,0.751104393,6869.802616,495.7205547,70
1000,12,5,8.429228657,810.7330427,207.5442408,1.682081044,0.791073928,0.937479835,6864.617061,504.5857249,70
1000,12,6,9.85422039,789.4643224,218.430766,1.679496515,0.80809548,1.123247269,6855.031994,525.9131875,70
1000,12,7,11.51866771,769.8539635,227.6321914,1.678311293,0.815119208,1.309530358,6852.889231,528.2237726,70
1000,12,8,12.87302233,751.3801585,236.908265,1.676510732,0.826417701,1.495000503,6845.499047,544.6871041,70
1000,12,9,14.68407492,734.1072513,244.8776751,1.67564463,0.830981328,1.681006693,6843.727741,547.1941901,70
250,12,1,4.466408207,224.9203512,34.87547683,1.061851144,1.052591067,0.118361008,6849.309556,508.1465179,70
250,12,10,31.94124839,143.5028117,70.9227711,0.850816504,0.991402697,0.948376796,6510.553211,977.5935128,70
250,12,11,36.09321922,138.5240226,73.0846317,0.837487386,0.984924729,1.0268712,6503.776785,983.2244262,70
250,12,12,37.01997918,136.7445099,74.39553576,0.821448456,0.972692219,1.098769455,6511.70496,983.8635059,70
250,12,2,8.369872032,210.1310828,42.30321979,1.071531552,1.068171514,0.238880101,6733.337401,722.0587833,70
250,12,3,11.77460361,198.7787965,49.10952838,1.013411145,1.05509544,0.338884687,6657.248513,823.9606136,70
250,12,4,14.91759863,188.2142592,53.81934572,0.979995395,1.045312665,0.43694728,6613.888109,876.3966927,70
250,12,5,18.15477393,178.6871406,57.80006594,0.950679321,1.03545057,0.529845275,6588.084399,902.7642417,70
250,12,6,20.84763159,170.1951109,61.09007202,0.921497557,1.02407203,0.616297566,6563.477211,928.0077898,70
250,12,7,24.11896964,162.250639,63.79443438,0.905081553,1.016919749,0.706204966,6550.950023,940.0022524,70
250,12,8,26.54215696,155.3031082,66.35761072,0.883670547,1.007223609,0.787998483,6533.403498,956.8832882,70
250,12,9,29.88252039,148.8371131,68.63077235,0.869338053,1.000738338,0.872119935,6524.4928,965.0429868,70
500,12,1,3.596885179,449.2759113,73.92369346,1.578458547,0.923564605,0.175945513,6916.065719,394.7450873,70
500,12,10,26.77146792,309.7803442,137.7199292,1.422857244,1.083690554,1.586011541,6698.544883,794.2950082,70
500,12,11,30.62491223,300.4312938,142.0931118,1.412417242,1.085688621,1.731811862,6694.740569,798.8129983,70
500,12,12,31.51410491,297.127286,144.7266564,1.401849106,1.07902466,1.875113365,6696.725752,800.7466883,70
500,12,2,6.405274292,426.9185718,84.86407463,1.571515393,0.976768284,0.350343165,6838.02044,575.7791903,70
500,12,3,9.152788736,407.9843876,95.98996891,1.532907153,1.01811297,0.512604152,6793.284567,653.7106433,70
500,12,4,11.72510563,390.1531727,104.0809892,1.511409868,1.039516429,0.67388728,6765.751158,699.6384878,70
500,12,5,14.45734899,373.6367362,111.3687009,1.491950048,1.052373557,0.831513493,6751.275598,720.2240776,70
500,12,6,16.85989539,358.2514891,117.7834147,1.475018953,1.063640011,0.986492676,6734.968517,744.9229698,70
500,12,7,19.62835168,344.4230586,122.8994882,1.460361834,1.068941245,1.13947166,6727.328292,754.6535583,70
500,12,8,21.85488834,331.586969,128.28614,1.447164605,1.075726314,1.290484917,6714.517071,773.1123031,70
500,12,9,24.81707071,319.8510236,132.7500086,1.435834058,1.079128815,1.440428727,6709.079473,780.0409665,70
750,12,1,2.809158879,678.6752686,110.7748315,1.697852968,0.624952544,0.189254011,6940.433037,320.631809,70
750,12,10,20.50912369,508.1061319,196.1313576,1.627787706,0.938167129,1.814440697,6787.459781,656.9738541,70
750,12,11,23.53918289,495.7930218,202.1758616,1.622359267,0.945613634,1.989228776,6785.898957,659.0111873,70
750,12,12,24.331945,491.0812452,205.9481206,1.621492737,0.932836133,2.168908685,6787.429371,660.5610808,70
750,12,2,4.78888204,653.1943598,124.6214099,1.681670282,0.759565965,0.374900362,6881.010427,481.2626604,70
750,12,3,6.846701288,630.5481112,138.6831988,1.669322237,0.820960086,0.558221356,6851.330458,540.070429,70
750,12,4,8.781844128,609.095699,149.4767026,1.662184766,0.853419637,0.741112781,6831.353965,580.2521095,70
750,12,5,10.86702091,588.9032246,159.3229989,1.65543998,0.874267999,0.922631882,6822.97917,593.843725,70
750,12,6,12.72312692,569.8647537,168.1147437,1.649203419,0.893400007,1.102987247,6811.076012,616.4559457,70
