time/d;BA1;BA2;;;;;;
5,709505567;7,234627435;3,294024108;;;;;;
5,716450013;7,153614868;3,326761143;;;;;;
5,723394459;7,03388509;3,396985008;;;;;;
5,730338906;6,932247642;3,370106593;;;;;;
5,737283352;6,818375841;3,37002693;;;;;;
5,744227798;6,695130519;3,381607211;;;;;;
5,751172244;6,566312172;3,393572584;;;;;;
5,758116691;6,426192729;3,356654488;;;;;;
5,765061137;6,293133596;3,229064131;;;;;;
5,772005583;6,203993893;3,160081536;;;;;;
5,778950029;6,071122578;3,130299615;;;;;;
5,785894475;5,897020786;3,11861019;;;;;;
5,792838922;5,714005691;3,109732613;;;;;;
5,799783368;5,627202507;3,097973972;;;;;;
5,806727814;5,502441925;3,096986227;;;;;;
5,81367226;5,416270095;3,082122448;;;;;;
5,820616706;5,348021502;3,056732756;;;;;;
5,827561153;5,258619837;3,060847859;;;;;;
5,834505599;5,175112178;3,067683347;;;;;;
5,841450045;5,054108506;3,079255151;;;;;;
5,848394491;4,991823569;3,070210921;;;;;;
5,855338938;4,936714356;2,996775042;;;;;;
5,862283384;4,849686747;2,985684252;;;;;;
5,86922783;4,744431453;3,373143972;;;;;;
5,876172276;4,667918182;3,533927659;;;;;;
5,883116722;4,569781741;2,511392101;;;;;;
5,890061169;4,449879267;1,96804385;;;;;;
5,897005615;4,348595315;2,165839248;;;;;;
5,903950061;4,236204937;2,294159222;;;;;;
5,910894507;4,139562211;2,319523205;;;;;;
5,917838953;4,056067843;2,400874279;;;;;;
5,9247834;3,932266054;2,456459187;;;;;;
5,931727846;3,84290525;2,56315959;;;;;;
5,938672292;3,800116088;2,577147127;;;;;;
5,945616738;3,751980916;2,646459952;;;;;;
5,952561185;3,727427331;2,591039773;;;;;;
5,959505631;3,711460024;2,632729082;;;;;;
5,966450077;3,714973266;2,620410943;;;;;;
5,973394523;3,693232976;2,677139749;;;;;;
5,980338969;3,670954306;2,735845536;;;;;;
5,987283416;3,81020504;2,898237543;;;;;;
5,994227862;3,973190402;3,020076378;;;;;;
6,001172308;3,96315321;2,991090839;;;;;;
6,008116754;3,9542679;2,974678313;;;;;;
6,0150612;3,947457543;2,938524347;;;;;;
6,022005647;3,950935063;2,915228068;;;;;;
6,028950093;3,944502364;2,909402972;;;;;;
6,035894539;3,929565378;2,914022842;;;;;;
6,042838985;5,189405343;2,314456463;;;;;;
6,049783432;5,661084978;2,370023304;;;;;;
6,056727878;5,969294704;2,451999866;;;;;;
6,063672324;5,731026767;2,501113573;;;;;;
6,070616769;5,779712705;2,633399024;;;;;;
6,077561214;5,836589429;2,671287971;;;;;;
6,084505659;5,728478289;2,698752571;;;;;;
6,091450105;5,832462608;2,761929177;;;;;;
6,09839455;5,867261066;2,786950197;;;;;;
