time/d;R1;R2;;;;;;time/s;?t/s;<R1>/C;<R2>/C;;time/s;<R1>/mol e-;<R2>/mol e-;R1 mmol e-;R2 mmol e-;;;;;
0,784731797;3,13487817;3,240382386;;;;;;67800,82727;600,0000581;8,840357295;9,137879213;;67800,82727;0,025860955;0,025692771;25,86095478;25,69277105;;;;;
0,791676242;3,089321835;3,197880183;;;;;;68400,82733;600,0000581;8,711888419;9,018022988;;68400,82733;0,025951247;0,025786237;25,95124745;25,7862366;;;;;
0,798620687;3,041461153;3,155894395;;;;;;69000,82739;600,000058;8,576921282;8,899623055;;69000,82739;0,026040141;0,025878475;26,04014129;25,87847501;;;;;
0,805565133;2,994032439;3,115913093;;;;;;69600,82745;600,0000581;8,443172297;8,786875774;;69600,82745;0,026127649;0,025969545;26,1276489;25,96954487;;;;;
0,812509578;2,952248402;3,073596461;;;;;;70200,82751;600,0000581;8,3253413;8,667542858;;70200,82751;0,026213935;0,026059378;26,21393528;26,05937793;;;;;
0,819454023;2,908029125;3,035443816;;;;;;70800,82757;600,0000581;8,200642925;8,559952389;;70800,82757;0,026298929;0,026148096;26,29892925;26,14809589;;;;;
0,826398468;2,864794115;2,994621238;;;;;;71400,82762;600,0000581;8,078720186;8,44483271;;71400,82762;0,02638266;0,026235621;26,38265957;26,23562072;;;;;
0,833342913;2,824673163;2,961755769;;;;;;72000,82768;600,0000581;7,965579091;8,352152076;;72000,82768;0,026465217;0,026322185;26,46521726;26,32218497;;;;;
0,840287358;2,784957584;2,926118283;;;;;;72600,82774;600,0000581;7,853581146;8,251654356;;72600,82774;0,026546614;0,026407708;26,54661418;26,40770764;;;;;
0,847231803;2,748276072;2,887759611;;;;;;73200,8278;600,0000581;7,750139273;8,143482891;;73200,8278;0,026626939;0,026492109;26,62693899;26,49210918;;;;;
0,854176248;2,710948161;2,850902967;;;;;;73800,82786;600,000058;7,644874555;8,039547146;;73800,82786;0,026706173;0,026575434;26,7061728;26,5754335;;;;;
0,861120693;2,675492975;2,816848251;;;;;;74400,82791;600,0000581;7,544890919;7,943512835;;74400,82791;0,02678437;0,026657762;26,78437035;26,65776249;;;;;
0,868065139;2,638262562;2,77931936;;;;;;75000,82797;600,0000581;7,439901145;7,837681353;;75000,82797;0,02686148;0,026738995;26,86147976;26,73899462;;;;;
0,875009584;2,601740196;2,746551101;;;;;;75600,82803;600,000058;7,336908062;7,745274853;;75600,82803;0,026937522;0,026819269;26,93752172;26,81926901;;;;;
0,881954029;2,565592929;2,708270335;;;;;;76200,82809;600,0000581;7,23497276;7,637323084;;76200,82809;0,027012507;0,026898425;27,01250718;26,89842456;;;;;
0,888898474;2,52957928;2,672829201;;;;;;76800,82815;600,0000581;7,133414261;7,537379078;;76800,82815;0,02708644;0,026976544;27,08644007;26,97654426;;;;;
0,895842919;2,494960646;2,63904502;;;;;;77400,8282;600,000058;7,035789702;7,442107677;;77400,8282;0,027159361;0,027053677;27,15936114;27,05367653;;;;;
0,902787364;2,462835905;2,605494529;;;;;;78000,82826;600,0000581;6,945197925;7,347495282;;78000,82826;0,027231343;0,027129828;27,23134329;27,12982822;;;;;
0,909731809;2,430448121;2,573902767;;;;;;78600,82832;600,0000581;6,853864364;7,258406505;;78600,82832;0,027302379;0,027205057;27,30237883;27,20505656;;;;;
0,916676254;2,398091736;2,545884388;;;;;;79200,82838;600,000058;6,762619349;7,179394669;;79200,82838;0,027372469;0,027279466;27,37246869;27,279466;;;;;
0,923620699;2,368413875;2,520154464;;;;;;79800,82844;600,0000581;6,678927775;7,106836278;;79800,82844;0,027441691;0,027353123;27,44169113;27,35312342;;;;;
0,930565145;2,338762062;2,486994451;;;;;;80400,82849;600,0000581;6,595309652;7,01332503;;80400,82849;0,027510047;0,027425812;27,51004694;27,42581166;;;;;
0,93750959;2,308743672;2,456388712;;;;;;81000,82855;600,0000581;6,510657784;6,927016837;;81000,82855;0,027577525;0,027497605;27,57752538;27,49760538;;;;;
0,944454035;2,281022285;2,430216143;;;;;;81600,82861;600,0000581;6,432483467;6,853210186;;81600,82861;0,027644194;0,027568634;27,6441936;27,56863414;;;;;
0,95139848;2,251797318;2,401655539;;;;;;82200,82867;600,0000581;6,350069051;6,772669275;;82200,82867;0,027710008;0,027638828;27,71000766;27,63882815;;;;;
0,958342925;2,224061616;2,374173668;;;;;;82800,82873;600,0000581;6,271854364;6,695170392;;82800,82873;0,027775011;0,027708219;27,77501107;27,70821894;;;;;
0,96528737;2,196674125;2,344151473;;;;;;83400,82878;600,0000581;6,194621634;6,610507795;;83400,82878;0,027839214;0,027776732;27,83921402;27,77673227;;;;;
0,972231815;2,168515761;2,321726516;;;;;;84000,82884;600,000058;6,115215037;6,547269409;;84000,82884;0,027902594;0,02784459;27,90259398;27,84459016;;;;;
0,97917626;2,141073829;2,292126157;;;;;;84600,8289;600,0000581;6,037828782;6,463796388;;84600,8289;0,027965172;0,027911583;27,96517188;27,91158292;;;;;
0,986120706;2,114634619;2,266470093;;;;;;85200,82896;600,0000581;5,963270202;6,391446282;;85200,82896;0,028026977;0,027977826;28,02697703;27,97782582;;;;;
0,993065151;2,088743114;2,242802705;;;;;;85800,82902;600,000058;5,890256152;6,32470424;;85800,82902;0,028088025;0,028043377;28,08802544;28,04337699;;;;;
1,000009596;2,06208835;2,217274436;;;;;;86400,82908;600,0000581;5,815089711;6,252714516;;86400,82908;0,028148295;0,028108182;28,14829481;28,10818203;;;;;
1,006954041;2,03784591;2,19187423;;;;;;87000,82913;600,0000581;5,746726022;6,181085926;;87000,82913;0,028207856;0,028172245;28,20785563;28,17224469;;;;;
1,013898486;2,012454657;2,170064348;;;;;;87600,82919;600,000058;5,675122681;6,119582053;;87600,82919;0,028266674;0,02823567;28,26667434;28,23566991;;;;;
1,020842931;1,988711614;2,142250969;;;;;;88200,82925;600,0000581;5,608167295;6,041148318;;88200,82925;0,028324799;0,028298282;28,3247991;28,29828222;;;;;
1,027787376;1,965744934;2,121441333;;;;;;88800,82931;600,0000581;5,543401249;5,982465137;;88800,82931;0,028382253;0,028360286;28,3822526;28,36028631;;;;;
1,034731821;1,941853696;2,098706043;;;;;;89400,82937;600,000058;5,476027952;5,918351614;;89400,82937;0,028439008;0,028421626;28,43900782;28,42162592;;;;;
1,041676266;1,918578729;2,074952947;;;;;;90000,82942;600,0000581;5,410392539;5,851367878;;90000,82942;0,028495083;0,028482271;28,49508278;28,48227128;;;;;
1,048620712;1,897161239;2,05026798;;;;;;90600,82948;600,0000581;5,349995212;5,781756263;;90600,82948;0,028550532;0,028542195;28,55053177;28,54219517;;;;;
1,055565157;1,87488495;2,02668696;;;;;;91200,82954;600,0000581;5,28717607;5,71525778;;91200,82954;0,02860533;0,02860143;28,60532968;28,60142984;;;;;
1,062509602;1,85252278;2,006465362;;;;;;91800,8296;600,0000581;5,224114746;5,658232869;;91800,8296;0,028659474;0,028660073;28,659474;28,6600735;;;;;
1,069454047;1,831729046;1,98741599;;;;;;92400,82966;600,0000581;5,16547641;5,604513635;;92400,82966;0,028713011;0,02871816;28,71301057;28,71816039;;;;;
1,076398492;1,811389585;1,967958837;;;;;;93000,82971;600,0000581;5,108119124;5,549644458;;93000,82971;0,028765953;0,028775679;28,76595268;28,7756786;;;;;
1,083342937;1,792021808;1,946287046;;;;;;93600,82977;600,0000581;5,053501989;5,488530001;;93600,82977;0,028818329;0,028832563;28,81832871;28,8325634;;;;;
1,090287382;1,771829417;1,926984738;;;;;;94200,82983;600,000058;4,99655944;5,434097488;;94200,82983;0,028870115;0,028888884;28,87011458;28,88888404;;;;;
1,097231827;1,752710897;1,906091943;;;;;;94800,82989;600,0000581;4,942645207;5,375179801;;94800,82989;0,028921342;0,028944594;28,92134167;28,94459405;;;;;
1,104176273;1,733283878;1,88726737;;;;;;95400,82995;600,0000581;4,887861009;5,322094499;;95400,82995;0,028972001;0,028999754;28,97200095;28,99975386;;;;;
1,111120718;1,714069049;1,867826135;;;;;;96000,83;600,000058;4,833675186;5,26727021;;96000,83;0,029022099;0,029054345;29,02209864;29,05434546;;;;;
1,118065163;1,6947515;1,848301281;;;;;;96600,83006;600,0000581;4,779199692;5,212210117;;96600,83006;0,029071632;0,029108366;29,07163172;29,10836639;;;;;
1,125009608;1,677386685;1,831001522;;;;;;97200,83012;600,0000581;4,73023091;5,163424791;;97200,83012;0,029120657;0,029161882;29,12065728;29,1618817;;;;;
1,131954053;1,659244638;1,811736674;;;;;;97800,83018;600,000058;4,679070333;5,109097914;;97800,83018;0,029169153;0,029214834;29,16915259;29,21483396;;;;;
1,138898498;1,640456517;1,794252461;;;;;;98400,83024;600,0000581;4,626087827;5,059792429;;98400,83024;0,029217099;0,029267275;29,21709878;29,26727519;;;;;
1,145842943;1,622086158;1,778253758;;;;;;99000,83029;600,0000581;4,574283408;5,014676083;;99000,83029;0,029264508;0,029319249;29,26450805;29,31924882;;;;;
1,152787388;1,604564527;1,760695308;;;;;;99600,83035;600,000058;4,524872404;4,965161248;;99600,83035;0,029311405;0,029370709;29,31140521;29,37070927;;;;;
1,159731833;1,587925772;1,74427873;;;;;;100200,8304;600,0000581;4,47795111;4,918866494;;100200,8304;0,029357816;0,02942169;29,35781606;29,4216899;;;;;
1,166676279;1,571451509;1,728006093;;;;;;100800,8305;600,0000581;4,431493684;4,872977652;;100800,8305;0,029403745;0,029472195;29,40374541;29,47219493;;;;;
1,173620724;1,554468138;1,709729193;;;;;;101400,8305;600,0000581;4,383600574;4,821436791;;101400,8305;0,029449178;0,029522166;29,44917839;29,52216578;;;;;
1,180565169;1,537887143;1,693472355;;;;;;102000,8306;600,0000581;4,336842162;4,775592504;;102000,8306;0,029494127;0,029571661;29,49412674;29,57166147;;;;;
1,187509614;1,521713951;1,676662785;;;;;;102600,8306;600,000058;4,291233758;4,728189511;;102600,8306;0,029538602;0,029620666;29,5386024;29,62066587;;;;;
1,194454059;1,505262334;1,660978056;;;;;;103200,8307;600,0000581;4,244840194;4,683958572;;103200,8307;0,029582597;0,029669212;29,58259722;29,66921185;;;;;
1,201398504;1,490355414;1,646099233;;;;;;103800,8308;600,0000581;4,202802675;4,642000285;;103800,8308;0,029626156;0,029717323;29,62615635;29,71732296;;;;;
1,208342949;1,475852582;1,631029074;;;;;;104400,8308;600,000058;4,161904684;4,599502434;;104400,8308;0,029669292;0,029764994;29,6692916;29,76499361;;;;;
