Ewe/V;BA1_A;Ewe/V;BA2_A;<--CV begin cycle 1;;Ewe/V;BA1_B;Ewe/V;BA2_B;;;<--- CV begin cycle 2
-0,440498799;-0,215886948;-0,44010064;-0,275005796;;;-0,45997104;0,017316442;-0,444102407;0,029363685;;;
-0,439518422;-0,21028089;-0,439518243;-0,264218837;;;-0,458501875;0,01870124;-0,443194896;0,031344735;;;
-0,439118624;-0,210899951;-0,439484149;-0,265048699;;;-0,458273947;0,020592175;-0,442070276;0,033990045;;;
-0,438746572;-0,209757913;-0,437655509;-0,267487506;;;-0,457066745;0,022174978;-0,441386193;0,036410714;;;
-0,438065946;-0,209310435;-0,435788244;-0,266801694;;;-0,455962121;0,023788697;-0,440264761;0,039855283;;;
-0,436273545;-0,209232289;-0,435214579;-0,263337775;;;-0,455250889;0,025703106;-0,439398587;0,04179532;;;
-0,435302615;-0,208849457;-0,434817135;-0,272454336;;;-0,453645825;0,027822334;-0,438322544;0,044642355;;;
-0,434391022;-0,207024927;-0,433546752;-0,2704881;;;-0,453124493;0,029845665;-0,436814696;0,047783765;;;
-0,433381855;-0,207818491;-0,432450444;-0,25673514;;;-0,451829135;0,03216448;-0,436172932;0,051557083;;;
-0,432681173;-0,204536788;-0,430746883;-0,269008519;;;-0,450825363;0,03460021;-0,434723228;0,053376529;;;
-0,430566519;-0,205666432;-0,430083513;-0,268522308;;;-0,449868143;0,037022484;-0,434584439;0,056431692;;;
-0,429549992;-0,204216159;-0,429117173;-0,252764167;;;-0,44878903;0,039688327;-0,432901889;0,060657557;;;
-0,429155678;-0,202308469;-0,428729534;-0,248943751;;;-0,448163688;0,04282326;-0,432021946;0,063222685;;;
-0,428280115;-0,202441087;-0,427739471;-0,261995635;;;-0,446564108;0,045496142;-0,430930048;0,066133161;;;
-0,427232772;-0,200880128;-0,426652879;-0,253389469;;;-0,446210921;0,048271732;-0,430154979;0,070271924;;;
-0,425862461;-0,201003582;-0,425018996;-0,263118092;;;-0,44472605;0,05163252;-0,429186016;0,073026395;;;
-0,424820215;-0,201263266;-0,424123228;-0,259064827;;;-0,44386217;0,054611896;-0,427787095;0,076415487;;;
-0,424257368;-0,198500381;-0,423088551;-0,264048899;;;-0,443070292;0,058171547;-0,42775324;0,079070742;;;
-0,423180342;-0,19750933;-0,423004657;-0,261628001;;;-0,441510051;0,062444665;-0,425733715;0,083375464;;;
-0,422201008;-0,196844659;-0,421951264;-0,248115983;;;-0,441503674;0,066098081;-0,425337732;0,085907246;;;
-0,420861989;-0,194340302;-0,41929546;-0,245854261;;;-0,439810902;0,06969156;-0,424104005;0,089604618;;;
-0,420021594;-0,194795927;-0,418691725;-0,25596089;;;-0,439067781;0,073601308;-0,423502594;0,092734398;;;
-0,419289142;-0,195501659;-0,418351799;-0,254087434;;;-0,437850863;0,078201723;-0,42161718;0,096368273;;;
-0,419433028;-0,193695167;-0,417357475;-0,249224578;;;-0,437123746;0,082421833;-0,421097666;0,100684553;;;
-0,416751504;-0,194209211;-0,416784316;-0,25010124;;;-0,436326563;0,086483132;-0,420012236;0,104193078;;;
-0,415534616;-0,193781487;-0,415353894;-0,242891937;;;-0,434400529;0,09103172;-0,418866485;0,107897199;;;
-0,414720118;-0,19141715;-0,413818032;-0,240451322;;;-0,434156805;0,095847875;-0,418176949;0,11152378;;;
-0,414602816;-0,192140193;-0,413122714;-0,251251803;;;-0,432538122;0,09999201;-0,416826934;0,116065452;;;
-0,413909495;-0,190614797;-0,412554681;-0,23458126;;;-0,432297319;0,10456113;-0,416249692;0,118873673;;;
-0,412759662;-0,188972462;-0,411528975;-0,23624578;;;-0,430987388;0,109337929;-0,414753497;0,123883621;;;
-0,410296023;-0,190140983;-0,410806805;-0,246437052;;;-0,429633737;0,113274437;-0,414408118;0,127522873;;;
-0,410084277;-0,190010178;-0,409000188;-0,24319794;;;-0,429153502;0,118764796;-0,412679017;0,130248977;;;
-0,409133196;-0,184955386;-0,408055604;-0,228838891;;;-0,427504182;0,123172872;-0,41218859;0,136712225;;;
-0,408602148;-0,186462138;-0,407065451;-0,216495808;;;-0,427293211;0,12835995;-0,411281198;0,141127471;;;
-0,407041907;-0,186425414;-0,406443954;-0,234935772;;;-0,425506473;0,132324443;-0,410247833;0,144893963;;;
-0,406092077;-0,18639204;-0,406020284;-0,232458214;;;-0,424924135;0,136998944;-0,409142107;0,149365972;;;
-0,405208051;-0,185134418;-0,40432173;-0,226401527;;;-0,423955262;0,142628595;-0,408120126;0,15305398;;;
-0,404244483;-0,181978562;-0,402957797;-0,233168023;;;-0,422795683;0,14760331;-0,407297403;0,158009283;;;
-0,403343469;-0,182382848;-0,402156174;-0,240036986;;;-0,422113001;0,153762256;-0,405733049;0,163895349;;;
-0,401627362;-0,181817713;-0,401675403;-0,2421907;;;-0,420913011;0,158592001;-0,405420929;0,164642918;;;
-0,401066601;-0,180272528;-0,400579393;-0,232898073;;;-0,419994026;0,163692722;-0,404072851;0,1706642;;;
-0,40078041;-0,180589796;-0,399712086;-0,228117269;;;-0,418575764;0,169450867;-0,403665185;0,178204276;;;
-0,400132447;-0,177045056;-0,397785485;-0,230309385;;;-0,418212324;0,174731132;-0,402060837;0,180094358;;;
-0,398177028;-0,177814719;-0,397063613;-0,219190727;;;-0,416835278;0,179103729;-0,401178777;0,186394431;;;
-0,396944255;-0,177419196;-0,396981865;-0,229086402;;;-0,415758252;0,186015973;-0,400056183;0,191635263;;;
-0,395960569;-0,175989547;-0,395527124;-0,219084941;;;-0,415106326;0,19141247;-0,398800313;0,192869836;;;
-0,395389199;-0,174404744;-0,394414335;-0,215902927;;;-0,41343686;0,195717402;-0,398530215;0,202028488;;;
-0,394957751;-0,173895669;-0,393272579;-0,219987209;;;-0,41305083;0,203135456;-0,396561712;0,206352759;;;
-0,39316535;-0,173783101;-0,392270207;-0,226138776;;;-0,4114663;0,210963646;-0,396236598;0,212962771;;;
-0,391331524;-0,172212707;-0,391103864;-0,230564493;;;-0,411546856;0,21524764;-0,394761503;0,216831623;;;
-0,391153157;-0,171848476;-0,390872687;-0,222920514;;;-0,409595162;0,221218444;-0,394493878;0,220760762;;;
-0,390446424;-0,17334226;-0,389566302;-0,212609668;;;-0,409125865;0,227125277;-0,392678559;0,222613822;;;
-0,389733016;-0,169421936;-0,38813889;-0,212276069;;;-0,407932341;0,233067873;-0,392065406;0,229236825;;;
-0,388136417;-0,170563523;-0,387009919;-0,221720242;;;-0,406796962;0,239747701;-0,391007453;0,235401627;;;
-0,386624038;-0,169714308;-0,386591613;-0,221017343;;;-0,406444013;0,244465601;-0,390050173;0,24435519;;;
-0,386100411;-0,167674333;-0,385984868;-0,203483346;;;-0,404444814;0,24924138;-0,389327973;0,248965374;;;
-0,385524958;-0,167194945;-0,385092139;-0,212610321;;;-0,404132128;0,257029102;-0,387928158;0,249739438;;;
-0,384441495;-0,167290676;-0,382565498;-0,218401387;;;-0,402781695;0,265028681;-0,387093604;0,258104769;;;
-0,382759273;-0,168422029;-0,382146448;-0,220131965;;;-0,401812792;0,269580641;-0,385847986;0,263753268;;;
-0,381494284;-0,165133765;-0,381590217;-0,219545183;;;-0,4008196;0,277528633;-0,385571837;0,270953557;;;
-0,381567806;-0,163939933;-0,380740017;-0,219169917;;;-0,39958784;0,283921039;-0,383590132;0,274048083;;;
-0,380481005;-0,163741805;-0,379560202;-0,207867128;;;-0,399078012;0,290542804;-0,383437008;0,273570652;;;
-0,378617853;-0,163350017;-0,377662599;-0,213785772;;;-0,397621572;0,296323988;-0,381949127;0,283834885;;;
-0,377969086;-0,161227333;-0,377109766;-0,209420811;;;-0,397226095;0,303500733;-0,381491721;0,289340614;;;
-0,377267331;-0,163298301;-0,376549631;-0,206149787;;;-0,395617127;0,311048832;-0,380216688;0,295941212;;;
-0,377108395;-0,163104724;-0,375708729;-0,21310373;;;-0,395073324;0,317819889;-0,379422545;0,303217128;;;
