;;;;;;;R1;;R2;;
;;;;;;;Bulk;Electrode;Bulk;Electrode;
OTU;Domain;Phylum;Class;Order;Family;Genus;BMIXP1_B3_20221213;EMIXP1_B3_20221213;BMIXP2_B3_20221213;EMIXP2_B3_20221213;
Otu060;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Eisenbergiella;0,0%;0,0%;0,0%;0,0%;
Otu061;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas;0,0%;0,0%;0,1%;0,0%;
Otu062;Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Eggerthella;0,1%;0,0%;0,0%;0,0%;
Otu065;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas;0,5%;0,0%;0,1%;0,0%;
Otu075;Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;uncultured;0,0%;0,0%;0,0%;0,0%;
Otu079;Bacteria;Firmicutes;Clostridia;Clostridiales;Christensenellaceae;Christensenellaceae_R-7_group;0,0%;0,0%;0,0%;0,0%;
Otu084;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Mobilitalea;0,0%;0,0%;0,0%;0,0%;
Otu106;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;vadinBC27_wastewater-sludge_group;0,0%;0,0%;0,0%;0,0%;
Otu114;Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae_1;Clostridium_sensu_stricto_2;0,0%;0,0%;0,1%;0,0%;
Otu119;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_UCG-010;0,0%;0,0%;0,0%;0,0%;
Otu126;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae_NK4A214_group;0,0%;0,0%;0,1%;0,0%;
Otu131;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Hydrogenoanaerobacterium;0,0%;0,0%;0,0%;0,0%;
Otu135;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_UCG-010;0,0%;0,0%;0,0%;0,0%;
Otu139;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium_1;0,0%;0,0%;0,0%;0,0%;
