Ewe/V;BA1_C;Ewe/V;BA2_C;<--CV_beggining
-0,522960365;0,017629005;-0,356575847;1,380954854;
-0,524830461;0,016680275;-0,356257737;1,406310168;
-0,523742735;0,017684352;-0,35375303;1,423637012;
-0,52338016;0,017165127;-0,354275048;1,438356199;
-0,523475587;0,018446037;-0,352411181;1,458058719;
-0,523704588;0,01786696;-0,352032602;1,486934876;
-0,52332294;0,018353646;-0,350182354;1,467435761;
-0,52460146;0,017883459;-0,35042274;1,474809918;
-0,523093939;0,018658224;-0,348051161;1,514685589;
-0,522807717;0,018669437;-0,348157257;1,529817496;
-0,522998512;0,019157729;-0,345868886;1,544893244;
-0,523189306;0,020545528;-0,346795112;1,554420109;
-0,522180498;0,022472224;-0,344438165;1,56468077;
-0,521782935;0,024111936;-0,343931943;1,593359157;
-0,521222949;0,02673734;-0,3423343;1,609385717;
-0,520808399;0,028683688;-0,342346817;1,64023851;
-0,520376861;0,031315546;-0,340290159;1,624666869;
-0,519990683;0,033567079;-0,33971265;1,641764535;
-0,519336939;0,036327549;-0,338788003;1,658897021;
-0,518863857;0,038973867;-0,337543637;1,680703314;
-0,518360615;0,041197104;-0,336878508;1,695668581;
-0,517796576;0,04429797;-0,335537612;1,72447746;
-0,517458141;0,046651484;-0,334822118;1,728682947;
-0,516833961;0,049796235;-0,333452046;1,749937282;
-0,516313374;0,051885245;-0,333143324;1,7692236;
-0,515794992;0,054164069;-0,330938935;1,800331272;
-0,515307307;0,056874534;-0,331060946;1,785027228;
-0,514725327;0,059082036;-0,329234034;1,817380509;
-0,514242113;0,061390843;-0,329298884;1,835496492;
-0,513935626;0,06477458;-0,326941848;1,846019852;
-0,51335144;0,067539231;-0,327935725;1,834345554;
-0,512801111;0,070379344;-0,325082153;1,885327833;
-0,512435138;0,073772554;-0,324996173;1,895869102;
-0,511759162;0,076942442;-0,323364645;1,930055135;
-0,511321306;0,07926699;-0,323549122;1,923448029;
-0,510837734;0,082634187;-0,320693463;1,958424916;
-0,510222971;0,085732602;-0,321060508;1,990820156;
-0,509855926;0,088906511;-0,319177896;1,99240303;
-0,509248614;0,092719998;-0,319164813;1,984852548;
-0,508802176;0,094685644;-0,316627055;1,996149184;
-0,508459687;0,09742505;-0,317643613;2,045214801;
-0,507959127;0,101468838;-0,314737678;2,052110856;
-0,507512271;0,104209942;-0,31490773;2,060755048;
-0,506788135;0,107309483;-0,313825667;2,072521455;
-0,506300211;0,111236226;-0,31368652;2,108291827;
-0,505826354;0,114464264;-0,31114918;2,13170295;
-0,505482435;0,117602837;-0,310757935;2,127999753;
-0,505016208;0,120328846;-0,309676766;2,109011465;
-0,504424036;0,125810442;-0,308549106;2,193334767;
-0,504063308;0,127744463;-0,308068514;2,163932636;
-0,50334549;0,131674575;-0,306568533;2,174643803;
-0,502830863;0,134510007;-0,305628657;2,204901088;
-0,502299428;0,137975968;-0,304535985;2,241042592;
-0,501790226;0,142601524;-0,303956807;2,267437978;
-0,501326084;0,145338522;-0,302415103;2,273490698;
-0,50079608;0,148421985;-0,302031368;2,305297242;
-0,500624239;0,152857243;-0,300656497;2,337830086;
